"code","iso","country","OZD.ind.1995","OZD.ind.1996","OZD.ind.1997","OZD.ind.1998","OZD.ind.1999","OZD.ind.2000","OZD.ind.2001","OZD.ind.2002","OZD.ind.2003","OZD.ind.2004","OZD.ind.2005","OZD.ind.2006","OZD.ind.2007","OZD.ind.2008","OZD.ind.2009","OZD.ind.2010","OZD.ind.2011","OZD.ind.2012","OZD.ind.2013","OZD.ind.2014","OZD.ind.2015","OZD.ind.2016","OZD.ind.2017","OZD.ind.2018","OZD.ind.2019","OZD.ind.2020","OZD.ind.2021","OZD.ind.2022"
44,"BHS","Bahamas",64.640068357733,61.858064195014,59.1802777757984,56.7897070904663,55.7885779661174,59.1727016784792,61.1133715975123,63.4141989371157,62.8522036351499,61.7446049842292,60.6324219690309,59.7760262332328,60.9404467924443,62.9436212283965,61.9225390717481,60.9259584583264,60.5035558539942,62.3259031727443,62.6085547625469,66.3774506320651,67.9391803119225,70.4179450796526,69.5740395209164,69.0503911455037,70.4444335415837,70.4444335415837,70.4444335415837,70.4444335415837
48,"BHR","Bahrain",14.7623168824929,14.2939195189964,14.4161575875385,13.5073880953107,12.6295748827727,15.0745332052464,18.8827627814438,16.9353227275689,13.3521641967862,14.0343455298848,14.655179922339,15.8026830634395,14.0218039959518,14.3147035780894,17.9538352486103,21.7684720001868,24.013682505157,23.8310899876353,25.2787461299424,27.1299205835738,26.2621283954303,25.0813516528386,24.1214861126636,25.2139670062097,24.9730289537394,24.9730289537394,24.9730289537394,24.9730289537394
50,"BGD","Bangladesh",5.41163100354088,5.61401099468374,5.33341132848069,5.39325069689872,5.1939662471702,5.91843879709927,6.95826335638252,7.6531141464104,6.50759970574497,6.7019366265534,6.68070817691174,6.80893033436371,6.0431638864535,6.67759583056015,8.76790795546665,8.74303868273205,9.36221477614828,9.52706830565775,10.2358921714472,11.0320158336636,12.2209971150831,12.0007587481199,11.233992422335,10.4425925914396,10.3492442038512,10.3492442038512,10.3492442038512,10.3492442038512
52,"BRB","Barbados",92.0664572751954,99.1047519817566,98.6790332508556,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
112,"BLR","Belarus",31.1549751237556,31.7024243134056,34.7274141580217,36.0802521065055,36.2502538503469,35.9481823151857,35.5039600555825,36.2079295470218,38.4806863345976,40.785404271861,42.0194491013133,44.7261879185465,47.704490689513,50.7451636827345,52.1126726120801,53.3855141352019,52.4390364540823,55.6992162849983,57.8924803900224,59.9724250093629,59.1989456069746,61.7611124969732,65.4455055454909,61.7766669838063,62.108484197473,62.108484197473,62.108484197473,62.108484197473
56,"BEL","Belgium",40.8650618488734,42.6571857344942,44.1722731302703,43.3427752165971,45.7814727434416,45.3495603092416,48.5538511602677,40.5635464839831,40.4221528130871,40.3561208403151,43.0474185147438,45.7455628437266,46.6530398371412,49.3665869414312,48.754515168115,49.1975321469965,50.9537551087315,49.2809200381625,47.3044099024499,46.4609538521724,48.3501365961461,50.4961648573899,52.0350949472898,48.8338181645084,48.5976271353201,48.5976271353201,48.5976271353201,48.5976271353201
84,"BLZ","Belize",49.4041318997665,49.9008847589775,50.7711978865007,47.4614763181293,42.6307597565068,42.8941480617983,42.5301518097635,44.7877666149298,43.7104942707432,48.2974762185273,50.5198229946357,50.0923103252339,52.2888459758747,55.397878731286,57.3468929820372,54.8295023918163,52.9779336830661,48.4699598428702,50.6230567486768,52.3653763094864,55.888392303391,54.2216690004206,54.6427472227236,51.9006989611095,51.6479643226752,51.6479643226752,51.6479643226752,51.6479643226752
204,"BEN","Benin",39.0357982927834,38.6234844160087,38.0346119222339,38.0980800131985,39.02781773257,42.4128115898125,43.7702239168912,48.1150518056974,49.1375048070032,48.5622530142246,42.7101499799785,36.080587674365,35.5201100687036,38.0898814324505,41.6911998722818,38.531078115534,35.3507348501014,33.2438569817726,31.3427334107099,31.0586295755935,30.201851404995,33.0047152489436,33.3039862970141,29.8659434159658,29.0883989440303,29.0883989440303,29.0883989440303,29.0883989440303
60,"BMU","Bermuda",42.0813284114335,41.8356448117147,41.3405086084208,41.1630915336565,42.4530039550861,44.0365564849757,44.6316444234017,44.9597633926174,46.3423973808889,48.3808668294888,48.7432373733501,49.1804353404468,49.3191016692432,50.7066782285785,50.1579421768771,52.1056981347146,52.5800927200464,55.9615711891342,56.7167737126761,57.2238240291971,55.3950478621883,54.6039615700893,54.3381142909337,57.6057496043834,58.3544875549154,58.3544875549154,58.3544875549154,58.3544875549154
64,"BTN","Bhutan",2.45235557744279,2.53387080233212,2.25447268859286,2.10916931185621,1.82658769967674,2.45695751415364,4.36019545616742,5.0494337920949,4.17532528488218,3.19663669088884,3.44690859656525,3.02318623921487,1.11702815909595,0.666621580232629,1.88598269232116,3.24955450660775,2.47934556031088,1.33055966040493,1.77291564197456,3.77238107612114,4.28391690788746,2.54742450665897,1.24060901872164,2.84521813615567,2.92642120603993,2.92642120603993,2.92642120603993,2.92642120603993
