"code","iso","country","PBD.ind.1995","PBD.ind.1996","PBD.ind.1997","PBD.ind.1998","PBD.ind.1999","PBD.ind.2000","PBD.ind.2001","PBD.ind.2002","PBD.ind.2003","PBD.ind.2004","PBD.ind.2005","PBD.ind.2006","PBD.ind.2007","PBD.ind.2008","PBD.ind.2009","PBD.ind.2010","PBD.ind.2011","PBD.ind.2012","PBD.ind.2013","PBD.ind.2014","PBD.ind.2015","PBD.ind.2016","PBD.ind.2017","PBD.ind.2018","PBD.ind.2019","PBD.ind.2020","PBD.ind.2021","PBD.ind.2022"
410,"KOR","South Korea",52.8493106815196,54.5966311871148,56.091619260852,57.2798437447148,58.422960971244,59.7551433787908,61.3572580857455,62.7600661709834,64.2235478057461,65.8780847400164,67.6579922464556,69.6230672694615,71.6393099263935,73.7286766473319,75.6325612423423,77.2076572337761,78.7267135354763,80.2032715789691,81.8857206552059,83.4888211761365,84.7884254600803,86.078830304591,86.8406831567754,87.7131324940527,88.4069868683491,88.4069868683491,88.4069868683491,88.4069868683491
728,"SSD","South Sudan",32.6788806423855,32.9770695378249,33.6209429177202,33.9612936856443,34.4780390463186,34.9105120250993,35.5833480603708,35.9093671659619,36.0082283137159,36.0994024224184,36.3409699176118,36.4418803268552,36.6733313341933,36.9119152354512,37.2118858681196,37.5103403062016,37.8473569490272,38.1717575984312,38.572923607114,39.0253764024729,39.2894282147244,39.7397319688309,40.2229944926486,40.5806672136208,41.0343150756933,41.0343150756933,41.0343150756933,41.0343150756933
724,"ESP","Spain",52.7176472207038,53.073841969915,53.7214933334111,53.9772636411468,54.1521249552341,54.9823445183413,55.6724475458248,56.2307787720298,56.7779484230138,57.7957497869673,58.5926447599787,59.7049535933785,60.644847649681,61.7229164571852,62.9038842262671,63.9262686838469,64.6986388312777,65.4112013413309,66.3192979924889,67.0133732125543,67.4051073684149,68.2974721362143,68.9563021321486,69.7127678869371,70.5048720860361,70.5048720860361,70.5048720860361,70.5048720860361
144,"LKA","Sri Lanka",59.0102213007317,58.8037875078146,57.9108326424521,58.6047552453264,58.5655076401571,58.67153963436,59.6185807420165,60.0991140205409,59.9159989801347,60.3770257367813,60.7288027280309,61.3039750436103,61.9379789685735,62.2810350711776,63.3470886791972,63.9994705693792,64.3498942853059,65.1196214569782,66.5596406735374,67.1726306422561,68.2685321166675,69.0683038191736,69.8329258693256,71.002672994931,71.6036760818345,71.6036760818345,71.6036760818345,71.6036760818345
275,"PSE","State of Palestine",19.3156102767371,19.5996420546566,19.9862195637957,20.4672301469648,20.9563521653092,21.3120943303562,21.5674842880793,21.6764775733904,22.0225247854851,22.3959644482719,22.9982416653716,23.5516046354542,24.4836470272719,25.2814072512708,25.98665143395,26.5645329106623,27.364898780409,29.0469893803713,30.1895974545052,29.9530656703661,29.9967099843031,30.6033933117725,31.1295693025724,31.6796493565513,32.2097978895312,32.2097978895312,32.2097978895312,32.2097978895312
729,"SDN","Sudan",0,0,0,0,0,0,0,0,0,0.0649141856368942,0.494489577993789,0.972540389512531,1.4584341621332,1.8984685290269,2.30703153210263,2.7397943005343,3.22986283681387,3.63815491839929,4.09268557648774,4.57547851511498,4.97887244390293,5.46045938752043,5.91861310861559,6.30261197877819,6.70700213333807,6.70700213333807,6.70700213333807,6.70700213333807
740,"SUR","Suriname",33.5368047531859,34.5013253076209,34.2931364325482,32.7576901376222,31.5860564330323,31.3029333811267,31.0643522566322,30.7527879251098,31.0470464651098,31.9849636158861,33.3477616390201,34.7968144806898,35.9155013510068,36.7203672405235,37.6507500264052,38.4128994051791,39.5933097318723,40.5632928490548,40.3992838161155,40.2326591897855,40.2973210702866,40.7635642867896,41.2125755995751,41.8054127294263,42.5948131556502,42.5948131556502,42.5948131556502,42.5948131556502
752,"SWE","Sweden",80.2241500802399,80.6992483163442,81.1405322588112,81.5957165299422,82.104320497827,82.8940305784717,83.5839962969731,84.317058658989,85.1956080366306,86.0419350016346,87.0981510069202,87.932561783635,88.8558259227948,89.8175452106737,90.6412085544361,91.4589624237459,92.2120942259311,93.0336473983904,93.8861040307362,94.7874455914815,95.5616874685899,96.3865726294677,97.1072549679146,97.2093680962137,96.9494776991838,96.9494776991838,96.9494776991838,96.9494776991838
756,"CHE","Switzerland",75.6679680702158,76.5330260557997,76.9759759127858,77.4528253972596,78.0725103834116,78.5906212238725,79.5783099515929,80.2097707694098,80.8920112080569,82.0355977695259,82.9140049135802,83.8497313389183,84.7591839249695,85.746680288569,86.4783430349827,87.4274945618749,88.4448585313086,89.1546042800829,89.9596726827141,90.9124196277938,91.6501143493399,92.5417602736357,93.0564879912548,93.5712706873853,94.0344401961772,94.0344401961772,94.0344401961772,94.0344401961772
760,"SYR","Syria",10.1783323816593,10.381537548952,10.4711947517787,10.1144497539998,10.7241816783227,11.5568427195525,12.9169730473237,13.3539811631369,14.7919317561082,15.3824523156358,16.2984821324235,17.0047974826195,17.313838697761,17.1971252382806,18.0730833180024,18.5631809076017,18.8706574351933,19.195135093679,19.3616075619494,19.4528184230286,19.7731359696845,20.0288765501035,20.2811542696728,20.6212036954535,21.0187866247058,21.0187866247058,21.0187866247058,21.0187866247058
